owner	test_name	row_index	row_id	render_count	owner_output_frames_bound
S06	direct_renewal_dream_structural_blend_boundary_crop	0	4x-L1	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	1	4x-LH-1	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	2	4x-LH	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	3	4x-LH+1	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	4	4x-L2H	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	5	4x-L2H+1	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	6	8x-L1	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	7	8x-LH-1	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	8	8x-LH	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	9	8x-LH+1	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	10	8x-L2H	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	11	8x-L2H+1	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	12	16x-L1	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	13	16x-LH-1	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	14	16x-LH	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	15	16x-LH+1	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	16	16x-L2H	1	524304
S06	direct_renewal_dream_structural_blend_boundary_crop	17	16x-L2H+1	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	0	silence-4x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	1	silence-8x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	2	silence-16x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	3	one-sample-DC-4x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	4	one-sample-DC-8x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	5	one-sample-DC-16x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	6	sub-window-DC-4x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	7	sub-window-DC-8x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	8	sub-window-DC-16x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	9	sub-window-impulse-4x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	10	sub-window-impulse-8x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	11	sub-window-impulse-16x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	12	exact-window-DC-4x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	13	exact-window-DC-8x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	14	exact-window-DC-16x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	15	exact-window-tone-4x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	16	exact-window-tone-8x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	17	exact-window-tone-16x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	18	over-window-impulse-4x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	19	over-window-impulse-8x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	20	over-window-impulse-16x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	21	over-window-tone-4x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	22	over-window-tone-8x	1	524304
S07	direct_renewal_dream_structural_edge_silence_matrix	23	over-window-tone-16x	1	524304
S08	direct_renewal_dream_structural_determinism_seed	0	byte-repeat	1	32768
S08	direct_renewal_dream_structural_determinism_seed	1	changed-seed	1	32768
S08	direct_renewal_dream_structural_determinism_seed	2	extreme-seed	1	32768
S09	direct_renewal_dream_structural_allocation_memory	0	plan-mono-N8192	0	4194304
S09	direct_renewal_dream_structural_allocation_memory	1	plan-stereo-N131072	0	4194304
S09	direct_renewal_dream_structural_allocation_memory	2	render-LN-4x	1	4194304
S09	direct_renewal_dream_structural_allocation_memory	3	render-L8N-4x	1	4194304
S10	direct_renewal_dream_structural_single_timeline_private_surface	0	absence-phase-propagation	0	0
S10	direct_renewal_dream_structural_single_timeline_private_surface	1	absence-peak-tracking	0	0
S10	direct_renewal_dream_structural_single_timeline_private_surface	2	absence-transient-state	0	0
S10	direct_renewal_dream_structural_single_timeline_private_surface	3	absence-material-separation	0	0
S10	direct_renewal_dream_structural_single_timeline_private_surface	4	absence-source-alignment	0	0
S10	direct_renewal_dream_structural_single_timeline_private_surface	5	absence-recurrence	0	0
S10	direct_renewal_dream_structural_single_timeline_private_surface	6	absence-limiter	0	0
S10	direct_renewal_dream_structural_single_timeline_private_surface	7	absence-post-render-gain	0	0
S10	direct_renewal_dream_structural_single_timeline_private_surface	8	absence-public-module-api	0	0
S10	direct_renewal_dream_structural_single_timeline_private_surface	9	absence-feature-flag	0	0
S10	direct_renewal_dream_structural_single_timeline_private_surface	10	absence-binary-report-mode	0	0
S10	direct_renewal_dream_structural_single_timeline_private_surface	11	absence-dependency-change	0	0
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	0	low-tone-4x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	1	low-tone-8x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	2	low-tone-16x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	3	mid-tone-4x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	4	mid-tone-8x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	5	mid-tone-16x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	6	chord-4x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	7	chord-8x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	8	chord-16x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	9	harmonic-pad-4x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	10	harmonic-pad-8x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	11	harmonic-pad-16x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	12	impulse-4x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	13	impulse-8x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	14	impulse-16x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	15	impulse-train-4x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	16	impulse-train-8x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	17	impulse-train-16x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	18	silence-gap-4x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	19	silence-gap-8x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	20	silence-gap-16x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	21	uniform-noise-4x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	22	uniform-noise-8x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	23	uniform-noise-16x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	24	rademacher-noise-4x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	25	rademacher-noise-8x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	26	rademacher-noise-16x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	27	amplitude-modulated-noise-4x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	28	amplitude-modulated-noise-8x	1	26880000
Y01	direct_renewal_dream_synthetic_integrity_crest_discontinuity	29	amplitude-modulated-noise-16x	1	26880000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	0	low-tone-4x-110.000000hz	1	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	1	low-tone-8x-110.000000hz	1	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	2	low-tone-16x-110.000000hz	1	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	3	mid-tone-4x-440.000000hz	1	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	4	mid-tone-8x-440.000000hz	1	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	5	mid-tone-16x-440.000000hz	1	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	6	chord-4x-110.000000hz	1	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	7	chord-4x-164.813778hz	0	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	8	chord-4x-220.000000hz	0	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	9	chord-4x-277.182631hz	0	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	10	chord-4x-329.627557hz	0	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	11	chord-8x-110.000000hz	1	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	12	chord-8x-164.813778hz	0	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	13	chord-8x-220.000000hz	0	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	14	chord-8x-277.182631hz	0	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	15	chord-8x-329.627557hz	0	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	16	chord-16x-110.000000hz	1	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	17	chord-16x-164.813778hz	0	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	18	chord-16x-220.000000hz	0	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	19	chord-16x-277.182631hz	0	13824000
Y02	direct_renewal_dream_synthetic_pitch_diagnostic	20	chord-16x-329.627557hz	0	13824000
Y03	direct_renewal_dream_synthetic_impulse_diagnostic	0	impulse-4x	1	9216000
Y03	direct_renewal_dream_synthetic_impulse_diagnostic	1	impulse-8x	1	9216000
Y03	direct_renewal_dream_synthetic_impulse_diagnostic	2	impulse-16x	1	9216000
Y03	direct_renewal_dream_synthetic_impulse_diagnostic	3	impulse-train-4x	1	9216000
Y03	direct_renewal_dream_synthetic_impulse_diagnostic	4	impulse-train-8x	1	9216000
Y03	direct_renewal_dream_synthetic_impulse_diagnostic	5	impulse-train-16x	1	9216000
Y04	direct_renewal_dream_synthetic_periodicity_modulation_gap	0	uniform-noise-4x	1	13824000
Y04	direct_renewal_dream_synthetic_periodicity_modulation_gap	1	uniform-noise-8x	1	13824000
Y04	direct_renewal_dream_synthetic_periodicity_modulation_gap	2	uniform-noise-16x	1	13824000
Y04	direct_renewal_dream_synthetic_periodicity_modulation_gap	3	mid-tone-4x	1	13824000
Y04	direct_renewal_dream_synthetic_periodicity_modulation_gap	4	mid-tone-8x	1	13824000
Y04	direct_renewal_dream_synthetic_periodicity_modulation_gap	5	mid-tone-16x	1	13824000
Y04	direct_renewal_dream_synthetic_periodicity_modulation_gap	6	silence-gap-4x	1	13824000
Y04	direct_renewal_dream_synthetic_periodicity_modulation_gap	7	silence-gap-8x	1	13824000
Y04	direct_renewal_dream_synthetic_periodicity_modulation_gap	8	silence-gap-16x	1	13824000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	0	duplicate-4x-space-0.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	1	duplicate-4x-space-0.5	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	2	duplicate-4x-space-1.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	3	duplicate-8x-space-0.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	4	duplicate-8x-space-0.5	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	5	duplicate-8x-space-1.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	6	duplicate-16x-space-0.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	7	duplicate-16x-space-0.5	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	8	duplicate-16x-space-1.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	9	base-8x-space-0.5	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	10	common-negated-8x-space-0.5	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	11	mixed-8x-space-0.5	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	12	swapped-mixed-8x-space-0.5	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	13	anti-phase-8x-space-0.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	14	anti-phase-8x-space-0.5	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	15	anti-phase-8x-space-1.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	16	delayed-pad-4x-space-0.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	17	delayed-pad-4x-space-1.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	18	delayed-pad-8x-space-0.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	19	delayed-pad-8x-space-1.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	20	delayed-pad-16x-space-0.0	1	18816000
Y05	direct_renewal_dream_synthetic_linked_stereo_inventory	21	delayed-pad-16x-space-1.0	1	18816000
